state,population
California,39538223
Texas,29145505
Florida,21538187
New York,20201249
Pennsylvania,13002700
Illinois,12812508
Ohio,11799448
Georgia,10711908
North Carolina,10439388
Michigan,10077331
New Jersey,9288994
Virginia,8631393
Washington,7705281
Arizona,7151502
Tennessee,6910840
Massachusetts,7029917
Indiana,6785528
Missouri,6154913
Maryland,6177224
Wisconsin,5893718
Colorado,5773714
Minnesota,5706494
South Carolina,5118425
Alabama,5024279
Louisiana,4657757
Kentucky,4505836
Oregon,4237256
Oklahoma,3959353
Connecticut,3605944
Utah,3271616
Iowa,3190369
Nevada,3104614
Arkansas,3011524
Kansas,2937880
Mississippi,2961279
New Mexico,2117522
Nebraska,1961504
Idaho,1839106
West Virginia,1793716
Hawaii,1455271
New Hampshire,1377529
Maine,1362359
Montana,1084225
Rhode Island,1097379
Delaware,989948
South Dakota,886667
North Dakota,779094
Alaska,733391
Vermont,643077
Wyoming,576851
